제목,뉴스 출처,날짜,뉴스 본문,관련 href
"
새 CEO 선임 앞둔 KT 5G 가입 늘며 '깜짝 실적'
",매일경제,2023-08-07 17:37,"2분기 주요기업 실적영업익 26% 증가한 5761억CJ제일제당은 32% 감소새로운 최고경영자(CEO) 선임을 앞둔 KT가 올해 2분기 영업이익 5761억원을 기록하며 호실적을 거뒀다. 기존 증권가 컨센서스인 5200억원대를 웃도는 실적이다. KT 사업 분야의 전반적인 매출이 일제히 상승한 가운데 효율화를 통해 비용 증가폭을 최소화한 영향으로 풀이된다.KT는 올해 2분기 매출 6조5475억원, 영업이익 5761억원을 기록했다고 7일 공시했다. 매출은 전년 동기 대비 3.7%, 영업이익은 25.5% 증가한 수치다. 영업비용은 5조9714억원으로 전년 동기 대비 2% 증가했다.사업 부문별로 보면 기업과 소비자 간 거래(B2C) 유·무선 사업은 매출 2조3902억원을 기록했다. 통신사의 캐시카우인 5G 가입자가 늘어나며 매출이 전년 동기 대비 0.8% 증가했다. 마케팅 비용에 해당하는 판매비는 6370억원으로 전년 대비 3.1% 줄었다. 2분기 호실적을 거둔 KT는 오는 30일 임시주주총회를 열고 새로운 수장을 맞이한다. KT는 30일 서울 서초구 KT 연구개발센터에서 진행하는 임시주총을 통해 김영섭 대표이사 후보(전 LG CNS 대표이사) 선임의 건을 의결할 예정이다. 임시주총에서 새로운 대표이사가 선임되면 KT는 4월부터 이어져온 경영 공백기를 끝내고 본격적인 경영 정상화 작업에 돌입할 예정이다.7일 한국거래소에 따르면 KT는 전 거래일보다 4.07% 오른 3만2000원에 거래를 마쳤다.코오롱인더스트리는 2분기에 매출 1조3472억원과 영업이익 658억원을 올렸다고 공시했다. 매출은 전년 동기 대비 3%, 영업이익은 전년 동기 대비 25.8% 줄었다. CJ제일제당은 올해 2분기 실적이 연결 기준 매출액 7조2194억원, 영업이익 3445억원을 기록했다고 이날 밝혔다. 이는 전년 동기 대비 각각 4.0%, 31.7% 줄어든 것이다. CJ제일제당은 지난 1분기 영업이익이 2528억원으로 전년 동기 대비 42% 감소한 데 이어 2개 분기 연속 저조한 실적을 기록했다. 한국항공우주(KAI)가 올해 2분기 매출 7335억원, 영업이익 84억원을 거뒀다고 이날 공시했다. 전년 동기 대비 매출은 9.7% 늘고, 영업이익은 75.6% 감소한 수치다. 당기순이익은 같은 기간 80.3% 줄어든 99억원을 기록했다. [정호준 기자 / 송민근 기자 / 김금이 기자]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""부장님 룸싸롱 아닌데요""…20대 女사원과 노래방 가더니어릴적 가족 버리고 떠난 아빠, 아들 죽자 장례식서 한 짓…러 여성 '부글부글'""폭탄물 테러"" ""흉기 살인"" 줄줄이 체포…피의자 58%가 뜻밖에도장모 구속에도, 잼버리 파행에도…끄떡없는 尹지지율 왜?투수 장현석 미국프로야구 LA다저스 입단 유력",https://finance.naver.com/news/news_read.naver?article_id=0005169472&office_id=009&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=404&date=20230807&page=1
"
대신證 올 채권판매 5조 고객자산 100조 넘어서
",매일경제,2023-08-07 17:28,"7일 대신증권은 올 들어 판매한 채권 금액이 5조원을 돌파했다고 밝혔다. 리테일 부문 호조세에 힘입어 고객 총자산도 100조원을 넘어섰다. 대신증권이 올해 들어 지난달까지 판매한 채권 금액은 총 5조4060억원으로 지난해 같은 기간보다 34.7% 증가했다. 지난해부터 이어진 고금리 환경에 투자 매력이 높아진 채권을 전략적으로 판매해온 결과다. 또한 온라인 전용 채권을 15차례에 걸쳐 출시하는 등 비대면 거래 고객을 위한 특판 채권을 늘렸다. 온라인으로 판매된 채권은 1조2861억원으로 전체 판매의 약 23.7%를 차지했다.[김금이 기자]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""부장님 룸싸롱 아닌데요""…20대 女사원과 노래방 가더니""꺼억~ 잘먹었습니다"" 개미들의 공든 2차전지탑, 외국인 배불렸다세계스카우트연맹, 태풍 소식에 결국 ""야영지서 조기 철수 결정""어릴적 가족 버리고 떠난 아빠, 아들 죽자 장례식서 한 짓…러 여성 '부글부글'조규성 덴마크축구 1부리그 데뷔 3경기 연속골",https://finance.naver.com/news/news_read.naver?article_id=0005169441&office_id=009&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=404&date=20230807&page=1
"
국고채 금리 일제히 하락… 미국 금리 동향 주시[채권마감]
",이데일리,2023-08-07 17:14,"[이데일리 유준하 기자] 7일 채권시장은 강세로 마감했다. 지난 주 약세를 되돌림하면서도 강세폭은 제한됐다. 이번 주 미 물가지표 발표를 앞두고 관망세가 뚜렷한 데다 이날 밤 연방준비제도(Fed·연준) 인사들의 발언도 예정돼 있어 미국 채권 시장의 흐름을 기다리는 분위기였다. 미쉘 보우만 연준 이사(사진=로이터)이날 채권시장에 따르면 국고 3년물과 5년물 금리는 각각 전거래일 대비 4.9bp(1bp=0.01%포인트), 6.7bp 내린 3.689%, 3.712%를 기록했다. 채권 금리 하락은 채권 가격 상승을 의미한다.장기물도 마찬가지로 강세였다. 10년물은 6.2bp 내린 3.814%를 기록했고 20년물은 4.6bp 내린 3.754%, 30년물은 4.5bp 내린 3.713%로 마감했다. 국채선물은 장 초반 강세 출발했지만 일부 상승폭을 반납했다. 마켓포인트에 따르면 3년 국채선물은 전 거래일 대비 15틱 오른 103.60을 기록했다. 외국인이 1만54계약 순매수했고 금융투자가 3792계약, 은행이 3181계약 팔았다.10년 국채선물은 50틱 오른 109.50을 기록했다. 외국인이 1884계약 순매수했고 금융투자는 1253계약 순매도했다. 외국인은 국채선물 시장서 4거래일 만에 순매수로 전환한 셈이다.다만 외국인의 순매수는 일시적일 뿐 아직 추세 전환으로 보기에 이르다는 분석이 나온다. 한 자산운용사 채권 운용역은 “외국인은 큰 흐름에서 글로벌 금리 수준을 추종하는 움직임을 보인다”면서 “오늘 밤에 미국 금리가 또 오르면 얼마든지 다시 팔 수 있는 포지션”이라고 봤다.우리나라 국고채 금리와 미국 금리의 상관도가 높아진 만큼 이날 오후 9시30분에 예정된 미국 연방준비제도 인사들의 발언을 주시할 필요가 있겠다. 라파엘 보스틱 애틀란타 연은 총재 연설과 미쉘 보우만 연준 이사의 연설이 예정돼 있다. 앞서 종전 매파였던 보스틱 총재는 추가 인상은 필요하지 않아 보인다는 입장을 밝힌 바 있다. 이 중 미쉘 보우만 연준 이사의 연설이 보다 중요하다. 라파엘 보스틱 총재는 투표권 없이 점도표만 찍는다면 보우만 이사는 금리 결정의 투표권을 쥐고 있기 때문이다.임재균 KB증권 연구원은 “보스틱 애틀랜타 연은 총재는 추가 인상은 필요치 않다고 언급했다”면서 “다만 보우만 연준 이사는 추가 인상이 필요하다고 언급하는 등 아직 추가 인상 우려는 완전히 해소되지 않았다”고 짚었다.한편 이날 양도성 예금증서(CD) 91일물과 기업어음(CP) 91일물 금리는 전 거래일과 같은 3.720%, 3.990%에 각각 마감했다.이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""일급 12~18만원"" 잼버리 화장실 청소 알바 '당근마켓'에 떴다""주호민 측 변호사 이틀 만에 전원 사임""BTS 슈가 영상서 시작됐다?…9호선 대피소동 전말 보니'초전도체'에 관심 빼앗긴 2차전지…증권가 팔아라 이유는'카눈', 한반도 관통한다…9~10일 태풍특보 발령",https://finance.naver.com/news/news_read.naver?article_id=0005546332&office_id=018&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=404&date=20230807&page=1
"
[마켓인] 하나증권 ‘아리랑본드’ 주관 두각…트랙레코드 효과 본격화
",이데일리,2023-08-07 16:53,"이 기사는 2023년08월07일 15시52분에 마켓인 프리미엄 콘텐츠로 선공개 되었습니다.[이데일리 마켓in 박미경 기자] 하나증권이 ‘아리랑본드’ 발행 대표주관사로서 입지를 다지고 있다. 글로벌 투자은행(IB)들과 꾸준한 네트워킹으로 트랙레코드를 쌓으며, 국내 아리랑본드 주관 실적 1위를 기록하고 있다.외국인들이 한국 채권시장에서 발행하는 채권은 아리랑본드와 김치본드로 나뉜다. 아리랑본드는 외국인(비거주자)이 한국에서 원화로 발행하는 채권이고, 김치본드는 원화 이외의 통화로 발행하는 채권을 말한다.[그래픽=이데일리 문승용 기자] 메릴린치, 200억 규모 아리랑본드 발행7일 금융투자업계에 따르면 지난 2015년 이후 국내 채권시장에서 발행된 아리랑본드는 총 1조6295억원으로 집계됐다. 이중 하나증권이 주관사를 맡은 곳은 총 6166억원으로 업계 1위 수준이다. 같은 기간 발행 건수별로는 총 51건 중 21건에 대해 하나증권이 주관 업무를 맡았다.지난달 27일에는 뱅크오브아메리카(BOA) 메릴린치 네덜란드법인이 200억원 규모의 아리랑본드를 발행했다. 수요예측을 밟지 않고 사모 시장에서 투자자를 확보했다. 만기는 10년이며, 표면금리는 연 4.4%다. BOA가 지급 보증에 참여했으며, 1년 콜옵션(조기상환권) 조건이 붙었다.메릴린치는 꾸준히 국내 채권시장을 통해 원화 조달을 이어가고 있다. 지난 2019년 1년물 200억원, 2020년 30년물 300억원어치를 발행했다. 모두 하나증권이 발행 주관사를 맡았다.채권시장 관계자는 “금리차로 인해 상대적으로 (한국 시장에서) 낮은 금리로 채권 발행이 가능하며, 차입 통화를 다변화하기 위해 발행이 이뤄졌다”면서 “특히 아리랑본드의 경우 만기일이 길기 때문에 장기채만 담는 기관투자자들로부터 별도의 수요가 존재한다”고 설명했다. 골드만삭스·노무라…하나證 아리랑본드 트랙레코드 ‘주목’앞서 하나증권은 골드만삭스, 노무라 등 글로벌 IB들의 아리랑본드 발행을 위한 대표주관사 역할을 맡아왔다. 하나증권은 지난 2017년부터 이들과 수차례 호흡을 맞춰왔다. 세계 최대 IB인 미국 골드만삭스 인터내셔널의 경우 2017년 최초로 아리랑본드를 발행할 때부터 대표주관사로 활약해왔다. 현재까지 발행한 아리랑본드 규모는 모두 사모채로, 총 2266억원에 달한다.일본 최대 IB인 노무라그룹도 2017년부터 하나증권을 대표 주관사로 삼았다. 노무라는 공모채로 1100억원, 사모채 1300억원을 발행했다. 통상 외국 발행사의 경우 아리랑본드 공모 발행 시 발행공시, 수시공시 의무 등의 부담이 있어 발행절차가 사모채보다 까다롭다.하나증권은 지난 2015년 프랑스은행이 소시에떼제네랄이 원화로 회사채를 발행할 때 처음으로 아리랑본드 대표주관 경험을 쌓았다. 아리랑본드 발행을 위해서는 해외 IB와 꾸준한 소통업무가 필요하다. 다른 증권사에 비해 주관 경험이 많다 보니 하나증권이 상대적으로 주목을 받았다는 설명이다.하나증권 관계자는 “메릴린치, 골드만삭스, 노무라증권 등 글로벌 IB들과 꾸준한 네트워킹으로 트랙레코드 쌓고 있다”며 “리그테이블도 중요하지만, 우리가 잘 할 수 있는 분야에서 내실을 다져나갈 것”이라고 말했다.이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""일급 12~18만원"" 잼버리 화장실 청소 알바 '당근마켓'에 떴다""주호민 측 변호사 이틀 만에 전원 사임""BTS 슈가 영상서 시작됐다?…9호선 대피소동 전말 보니'초전도체'에 관심 빼앗긴 2차전지…증권가 팔아라 이유는'카눈', 한반도 관통한다…9~10일 태풍특보 발령",https://finance.naver.com/news/news_read.naver?article_id=0005546302&office_id=018&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=404&date=20230807&page=1
"
美 물가 지표 대기 속 막판 매수…환율 이틀째 1300원대[외환마감]
",이데일리,2023-08-07 16:19,"[이데일리 이정윤 기자] 원·달러 환율이 이틀째 1300원대에서 마감했다. 미국 물가 지표에 대한 경계감과 리스크오프(위험회피) 심리가 지속되자 글로벌 달러가 다시 강세를 보이면서 환율이 약보합에 그쳤다. 사진=AFP7일 서울외국환중개에 따르면 이날 환율은 전 거래일 종가(1309.8원)보다 3.6원 내린 1306.2원에 마감했다. 2거래일 연속 1300원대에서 장을 마쳤다.이날 환율은 역외 환율을 반영해 전 거래일 종가보다 3.2원 하락한 1306.6원에 개장했다. 이후 환율은 1300원 초반대서 횡보하다가 오전 10시반께부터 하락 폭을 확대해 1298.7원까지 내렸다. 환율은 오후까지 다시 천천히 상승하더니 장 막판 매수세가 몰리며 개장 수준까지 올라 마감했다.지난주 미국 노동 지표 둔화와 미국 연방준비제도(Fed·연준) 인사들의 비둘기(통화완화) 발언이 나오면서 장 초반 달러가 소폭 약세로 돌아섰다. 하지만 이번 주 발표될 미국 물가 지표에 대한 경계감과 위험회피 심리가 지속되면서 달러는 다시 강세를 보였고 환율 하락도 제한됐다.이에 달러인덱스는 이날 새벽 2시38분 기준 102.32을 기록하고 있다. 장 초반에는 101선까지 내려가기도 했으나 반등한 것이다. 달러·위안 환율은 위안화 절상고시에도 불구하고 7.20위안대로 상승했다. 이날 장 중 일본은행(BOJ)은 지난 7월 금융정책 결정 회의 요약본을 공개했다. 일본은행은 물가 안정을 위해 초완화적인 통화정책을 지속할 필요가 있다는 입장을 유지했지만 수익률곡선제어(YCC) 정책을 유연하게 관리해 물가 리스크 대응할 필요성을 새롭게 언급했다. 이에 달러·엔 환율은 장 중 141엔대로 내리기도 했으나, 달러가 강세를 보이면서 현재는 142엔대로 올라왔다. 외국인 투자자는 국내 증시에서 순매수하며 환율 하락을 지지했다. 외국인은 코스피 시장에서 2800억원대 순매수했다. 이는 나흘 만에 유입이다. 반면 코스닥 시장에선 1900억원대 순매도해 6거래일째 팔고 있다. 이에 코스피 지수는 0.85%, 코스닥 지수는 2.20% 하락했다. 증시 전반적으로 위험회피 심리가 이어지는 모습이다.국내은행 딜러는 “오전에 역외 셀 물량이 나와서 소화된 후 아래에서 달러 매수가 나오면서 환율이 다시 오른 거 같다”면서 “글로벌 달러 약세긴 하지만 오늘 원화가 다른 통화에 비해 낮다”고 말했다.이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""일급 12~18만원"" 잼버리 화장실 청소 알바 '당근마켓'에 떴다""주호민 측 변호사 이틀 만에 전원 사임""BTS 슈가 영상서 시작됐다?…9호선 대피소동 전말 보니'초전도체'에 관심 빼앗긴 2차전지…증권가 팔아라 이유는'카눈', 한반도 관통한다…9~10일 태풍특보 발령",https://finance.naver.com/news/news_read.naver?article_id=0005546259&office_id=018&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=404&date=20230807&page=1
"
긴축 후반기 '베어 스티프닝' 지속…美 10년물 금리 3.7~4.3%로 상향
",이데일리,2023-08-07 13:03,"[이데일리 최정희 기자] 신한투자증권은 3분기 동안 장기물 금리 상승세가 커지는 ‘베어 스티프닝’이 지속될 것이라고 밝혔다. 미국 경기가 호조세를 보이고 있는 데다 미 국채 공급 물량이 늘어나고 있기 때문이다. 이에 따라 미 10년물 금리 밴드 전망을 3.7~4.3%로 상향 조정했다. 신한투자증권이 7일 발간한 보고서에 따르면 미국 2년물, 10년물 스프레드는 한 달 전 마이너스(-) 107bp에서 -74bp로 장단기 금리 역전폭이 축소됐다. 한 달 간 2년물 금리는 14bp, 10년물 금리는 19bp 상승했다. 박민영 신한투자증권 연구원은 이와 관련 “긴축 사이클 후반에 수익률 곡선이 가팔라지는 현상은 일반적”이나 “통상 단기물 금리가 장기물 금리보다 더 큰 폭으로 하락하는 ‘불(Bul) 스티프닝’이 두드러지는데 이번에는 단기물 금리보다 장기물 금리가 오르는 ‘베어(Bear) 스티프닝’이 나타나고 있다”고 밝혔다. 이는 미국 경기가 예상보다 강하고 미국 국채 공급이 늘어나고 있기 때문이다. 박 연구원은 “2분기부터 미국 경제지표들이 예상치를 상회하는 흐름이 이어지며 경기 인식이 전환됐고 양적긴축(QT)로 연방준비제도(Fed·연준)의 재투자가 종료되는 가운데 국채 발행량이 확대로 전환될 예정”이라고 설명했다. 특히 중장기물 국채 입찰 계획이 상향 조정됐다. 박 연구원은 “수급상 수요, 공급 모두 중장기물 금리 상승을 자극하는 요인들이 지배하고 있다”며 “정부 주도의 투자 확대가 나타나며 미국 경기의 견조함은 3분기에도 이어질 수 있다”고 밝혔다. 이어 “고금리 환경이 이어지고 있음에도 장기물 상승 주도의 스티프닝 경로는 3분기 동안 지속될 수 있다는 판단”이라고 덧붙였다. 반면 긴축발 단기물 금리 상방 재료는 약화되는 추세다. 박 연구원은 “10일 발표되는 미국 물가지표에서 헤드라인 지표는 반등할 것으로 보이나 근원 물가의 둔화 기대는 추가 긴축 우려를 완화시켜줄 것”이라고 밝혔다. 작년 12월 주거비 상승률은 전월비 0.8%였으나 올해 둔화되기 시작해 0.4%까지 낮아졌다. 연방기금(FF) 선물 금리에서 확인되는 기준금리 경로는 최종 금리 도달 후 반년 내 35bp 인하를 반영하고 있다. 이는 금리 동결이 종전보다 더 길어질 것이라는 전망이다. 박 연구원은 “단기물 금리는 상하방이 모두 운신의 폭이 제한적”이라면서도 “장기물 금리는 상향 조정 재료가 우위에 있다”고 설명했다. 이어 “향후 3개월간 미국 10년물 금리는 3.7~4.3%로 소폭 상향 조정한다”고 덧붙였다. 2-10년물 금리 스프레드는 -90~-60bp로 조정했다. 출처: 신한투자증권이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.'초전도체'에 관심 빼앗긴 2차전지…증권가 팔아라 이유는성범죄 피해로 잼버리 퇴영한 게 배신? ""우리가 당했다""태풍 '카눈' 북상중…강원도 고성 밤사이 305mm '물폭탄'BTS 슈가 영상서 시작됐다?…9호선 대피소동 전말 보니""착한 당신, 사랑해요""…사건 현장에 놓인 디카페인 라떼 한 잔",https://finance.naver.com/news/news_read.naver?article_id=0005546064&office_id=018&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=404&date=20230807&page=1
"
국채 3년물 2.4조원 입찰… 응찰 6조3320억원
",이데일리,2023-08-07 11:47,"[이데일리 유준하 기자] 기획재정부는 7일 국채 3년물 통합발행 경쟁입찰 결과 3.665%에 2조4000억원이 낙찰됐다고 밝혔다. 이날 오전 진행된 입찰 결과 응찰 금액은 6조33200억원이 몰려 응찰률 263.8%를 기록했으며 응찰 금리는 3.625~3.700%로 집계됐다. 부분 낙찰률은 71.2%였다.이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.'초전도체'에 관심 빼앗긴 2차전지…증권가 팔아라 이유는성범죄 피해로 잼버리 퇴영한 게 배신? ""우리가 당했다""태풍 '카눈' 북상중…강원도 고성 밤사이 305mm '물폭탄'""더워서 그랬다?"" 잼버리 성범죄 男 논란에…여가부 ""문화적 차이""""착한 당신, 사랑해요""…사건 현장에 놓인 디카페인 라떼 한 잔",https://finance.naver.com/news/news_read.naver?article_id=0005546032&office_id=018&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=404&date=20230807&page=1
"
국고 3년물 입찰 소화… 국고채 금리 일제히 하락[채권분석]
",이데일리,2023-08-07 11:44,"[이데일리 유준하 기자] 7일 국채 시장은 전거래일 미국 금리를 반영해 일제히 강세를 보인다. 외국인은 3년 국채선물을 중심으로 순매수에 나섰다. 미국 시장과 마찬가지로 단기물에 대한 시장 수요가 작용한 것으로 풀이된다.3년 국채선물 가격 추이(자료=마켓포인트)이날 마켓포인트에 따르면 3년 국채선물(KTB)은 오전 11시25분 기준 22틱 오른 103.67에, 10년물은 67틱 오른 109.67을 기록 중이다. 장 초 강세로 출발, 상승폭은 다소 좁아진 상태다.3년 국채선물 수급을 살펴보면 외국인은 8434계약 순매수 중이며 금융투자와 투신은 534계약, 1803계약을 팔고 있다. 은행은 4920계약을 순매도 중이다. 10년 국채선물은 외국인이 452계약 순매수 중이고 투신이 250계약을 팔고 있다.국채 시장도 강세 전환했다. 국고 3년물 금리과 5년물은 각각 전거래일 대비 6.0bp(1bp=0.01%포인트), 6.7bp 내린 3.677%, 3.708%를 기록하고 있다. 채권의 금리 하락은 채권 가격 상승을 의미한다.장기물을 살펴보면 10년물은 6.9bp 내린 3.805%을 보이고 있으며 20년물은 3.5bp 내린 3.765%, 30년물은 3.8bp 내린 3.722%을 기록 중이다.전거래일 미국 채권 금리 반영中이날 시장은 미국 금리를 반영 중이란 평가다. 한 연기금 채권 운용역은 “이날 장은 아무래도 저번주 미국 국채 금리 인하를 프라이싱하는 정도로 보인다”면서 “뚜렷한 수급 동향은 보이지 않고 현재 국고 10년물 금리가 3.8%선을 지키고 있는데 해당 가격선에서 등락을 거듭할 것”이라고 내다봤다.이번주 발표되는 고용지표와 미국 소비자물가지수를 주시하며 당분간 숨고르기에 들어갈 것이란 전망이 나온다. 이 운용역은 “당분간 이번주 발표되는 한국 고용지표, 미국 소비자물가지수를 주시하는 흐름일 것”으로 전망했다.국채 3년물 입찰 이벤트… 추가 영향은 미미이날 시장은 2조4000억원 규모 국고채 3년물 입찰 이벤트를 소화했다. 기획재정부는 이날 오전 진행된 3년물 입찰 결과 6조3320억원이 응찰했으며 응찰률은 263.8%였다고 발표했다. 낙찰 금리는 3.665%로 집계됐다.이날 오전 중 3년물 입찰을 위한 헤지 매도 물량의 여파는 미미했다. 이에 시장은 장 마감 후 연준 인사들의 발언을 주목할 예정이다. 이날 오후 9시30분 라파엘 보스틱 애틀란타 연은 총재 연설과 미쉘 보우만 연준 이사의 연설이 예정돼 있다.이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.'초전도체'에 관심 빼앗긴 2차전지…증권가 팔아라 이유는성범죄 피해로 잼버리 퇴영한 게 배신? ""우리가 당했다""태풍 '카눈' 북상중…강원도 고성 밤사이 305mm '물폭탄'""더워서 그랬다?"" 잼버리 성범죄 男 논란에…여가부 ""문화적 차이""""착한 당신, 사랑해요""…사건 현장에 놓인 디카페인 라떼 한 잔",https://finance.naver.com/news/news_read.naver?article_id=0005546030&office_id=018&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=404&date=20230807&page=1
"
KB증권, 토스뱅크 고객 대상 특판 발행어음 판매
",매일경제,2023-08-07 11:10,"KB증권은 7일 오전 11시부터 토스뱅크를 통해 연 최대 세전 4.55% 수익률을 지급하는 발행어음 특판을 실시한다고 밝혔다.KB증권은 토스뱅크를 통한 발행어음 판매를 기념해 2000억원 한도로 특판 발행어음을 준비했다. 특판 발행어음은 토스뱅크를 통해 KB증권 계좌를 개설한 개인고객을 대상으로 판매를 진행한다. 개인별 최소 100만원부터 매수가 가능하다.특판 발행어음은 정해진 기간없이 사고 팔 수 있는 수시식(세전 연 3.7%) 발행어음과, 6개월마다 더 높은 수익률로 1년까지 재투자하는 스텝업(1회차 세전 연 4.4%, 2회차 세전 연 4.55%) 발행어음으로 구성됐다. 고객들은 투자목적에 맞게 상품을 선택할 수 있다.특히 스텝업 발행어음은 발행어음 판매사 중 유일하게 KB증권만 판매하는 상품이다. 최초 가입 시 약속한 6개월 단위의 수익률을 제공한다. 최초 6개월 이후 더 높은 수익률로 원금 또는 원금+이자로 재투자 여부를 결정할 수 있다. 가입 당시 재투자 수익률이 결정되기 때문에 향후 금리 하락을 예상하는 경우 유리한 상품이다.토스뱅크 연계계좌 개설 이벤트로 8월 말까지 토스뱅크를 통해 KB증권 위탁계좌를 최초 개설한 신규 고객대상으로 해외주식쿠폰 1만원권을 지급한다. 지급받은 해외주식쿠폰을 이벤트 기간 내 사용한 경우, 주식쿠폰 1만원권(국내주식 5천원+해외주식 5천원)을 추가로 지급하는 이벤트도 진행 중이다.하우성 KB증권 플랫폼총괄본부장은 “이번 특판 발행어음 판매를 통해 고객에게 약속된 수익금을 지급받는 경험을 제공할 수 있게 됐다”며 “향후 KB증권의 경쟁력 있는 금융상품 라인업을 지속적으로 확대해 고객 자산관리에 도움이 될 수 있도록 노력할 것”이라고 말했다.매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""5천만원이 통장에?"" 잘못 들어온 남의 돈, 슬쩍 탕진한 40대""은색볼펜 들고가다 체포당했다"" 흉기난동 공포에 전국 마비""꺼억~ 잘먹었습니다"" 개미들의 공든 2차전지탑, 외국인 배불렸다미래반도체 필수소재인 '이것'...98% 생산하는 중국이 틀어쥐었다조규성 덴마크축구 1부리그 데뷔 3경기 연속골",https://finance.naver.com/news/news_read.naver?article_id=0005169124&office_id=009&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=404&date=20230807&page=1
"
“올해 53% 수익률” 삼전 없는 반도체 ETF에 자금 몰렸다
",매일경제,2023-08-07 11:06,"‘KODEX 반도체’ 순자산 5000억 돌파SK하닉·SK스퀘어·한미반도체 등 투자7일 삼성자산운용은 국내 반도체 산업 전반에 투자하는 ‘KODEX 반도체 ETF’ 순자산총액이 5040억원을 기록했다고 밝혔다.국내 대표적인 반도체 ETF인 ‘KODEX 반도체’는 최근 1개월 동안 개인과 기관이 700억원 가량 순매수하며 상장 후 처음으로 5000억원을 돌파했다. 연초 이후 코스피 지수가 약 16.4% 상승한 반면‘ KODEX 반도체’는 53.3%의 수익률을 기록했다.‘KODEX 반도체’는 2006년 상장한 첫 반도체 ETF이자 국내 반도체 산업을 이끄는 핵심 관련주에 골고루 투자하는 대표 상품이다. 기초지수는 국내 반도체 산업 대표 기업을 시가총액 가중방식으로 구성한 KRX 반도체 지수를 추종한다. KRX 반도체 지수는 코스피, 코스닥 종목 중 반도체 섹터에 해당하는 41종목을 편입하며 회사 매출 중 반도체 비중이 큰 고순도 종목을 담고 있다.이 ETF는 국내 반도체 대표 종목뿐 아니라 반도체 밸류체인에 속해 있는 다양한 종목을 분산해서 편입하고 있어, 반도체 산업의 전반적인 실적 개선이 예상되는 시점에서 핵심적인 분산투자 전략이 가능한 상품이다. 보유 상위 종목은 SK하이닉스, SK스퀘어, 한미반도체, DB하이텍 등이다. 다만 해당 ETF가 추종하는 ‘KRX 반도체’ 지수에 삼성전자가 포함되지 않아 투자 종목에서 빠져있다.임태혁 삼성자산운용 ETF운용본부 상무는 “시장의 투자심리가 반도체 시장으로 이동하고 있는 가운데, 국내 반도체 산업을 이끄는 핵심 관련주에 골고루 투자하기를 원하는 투자자에게 ‘KODEX 반도체’를 추천한다”며 “현재 국내에 상장된 다양한 반도체 ETF를 통해 한국, 미국 반도체는 물론 세분화된 반도체 섹터까지 투자가 가능해지면서 투자자들이 2차전지 이후의 투자전략을 빠르게 수립하고 있는 것으로 분석된다”고 말했다.매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""5천만원이 통장에?"" 잘못 들어온 남의 돈, 슬쩍 탕진한 40대""은색볼펜 들고가다 체포당했다"" 흉기난동 공포에 전국 마비""꺼억~ 잘먹었습니다"" 개미들의 공든 2차전지탑, 외국인 배불렸다미래반도체 필수소재인 '이것'...98% 생산하는 중국이 틀어쥐었다조규성 덴마크축구 1부리그 데뷔 3경기 연속골",https://finance.naver.com/news/news_read.naver?article_id=0005169122&office_id=009&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=404&date=20230807&page=1
