제목,뉴스 출처,날짜,뉴스 본문,관련 href
"
뉴욕증시, 관망세 속에 소폭 상승 출발
",연합뉴스,2023-08-07 23:49,"(뉴욕=연합뉴스) 윤영숙 연합인포맥스 특파원 = 뉴욕증시는 이번 주 예정된 7월 소비자물가지수(CPI) 발표를 앞두고 투자자들의 관망세 속에 소폭 올랐다.    7일(미 동부시간) 뉴욕증권거래소(NYSE)에서 오전 10시 38분 현재 다우존스30산업평균지수는 전장보다 337.48포인트(0.96%) 오른 35,403.10을 기록 중이다.    스탠더드앤드푸어스(S&P)500지수는 전장보다 29.80포인트(0.67%) 상승한 4,507.83을, 나스닥지수는 전장보다 36.40포인트(0.26%) 오른 13,945.64를 나타냈다.    지난주 3대 지수는 하락세로 장을 마쳤고, S&P500지수와 나스닥지수의 주간 하락률은 3월 이후 최대를 기록한 바 있다.     투자자들은 이번 주 10일에 나올 7월 물가 지표와 미국 국채금리 움직임 등을 주시하며 관망세를 보이고 있다.     7월 CPI는 오는 9월 예정된 연방공개시장위원회(FOMC) 정례회의를 앞두고 나와 연방준비제도(연준·Fed)의 긴축 종료 기대를 강화할지 주목된다.     지난 6월 CPI는 지난해 같은 기간보다 3% 올랐으나, 이코노미스트들은 이 수치가 3.3%로 오를 것으로 예상하고 있다.     근원 CPI는 지난달 4.8% 올랐던 데서 4.7%로 둔화했을 것으로 예상된다.     7월 CPI가 예상보다 빠르게 둔화하지 않고 있다는 인상을 줄 경우 국채 금리는 다시 오르고, 연준의 긴축 종료 기대는 한발 물러갈 가능성이 있다.     10년물 국채금리는 최근 4.2%까지 올라 지난해 11월 이후 최고치를 경신했다. 이 시각 10년물 금리는 전장보다 3bp가량 오른 4.07% 근방에서 거래되고 있다.     앞서 미셸 보먼 연준 이사가 추가 긴축 가능성을 언급한 점도 주목을 받았다.     보먼 이사는 전날 열린 캔자스 은행연합회 행사에 참석해 ""물가상승률 경로를 정책목표 수준인 2% 수준으로 낮추기 위해선 추가 금리 인상이 필요해 보인다""라고 밝혔다.    보먼 이사는 연준 내에서도 매파적인 성향의 인물로 평가된다. 연준 내에서 여전히 추가 인상을 요구하는 목소리가 있는 만큼, 연준의 금리 인상이 끝났다는 평가는 일러 보인다.     투자자들은 기업들의 실적도 주시하고 있다.     팩트셋에 따르면 지금까지 실적을 발표한 기업은 S&P500지수 내 84%가량으로 이 중 79%가 예상치를 웃도는 주당 순이익을 발표했다. 이는 5년 평균인 77%와 10년 평균인 73%를 웃도는 수준이다.     이번 주에는 34개 기업이 실적을 발표하며 오는 9일에는 다우지수에 편입된 월트 디즈니의 실적도 나올 예정이다.     S&P500지수 내 11개 업종이 모두 오르고 금융, 산업, 통신 관련주가 1% 이상 올라 상승을 주도 중이다.     개별 종목 중에 테슬라의 주가는 회사의 재커리 커크혼 최고재무책임자(CFO)가 사임하기로 했다는 소식이 나온 가운데 2% 이상 하락 중이다.     캠벨 수프의 주가는 라오스 등 파스타 소스 업체 소보스 브랜즈를 인수했다는 소식에 2%가량 하락했다. 소보스 브랜즈의 주가는 20% 이상 올랐다.     트럭업체 옐로의 주가는 파산보호를 신청했다는 소식에 38% 이상 폭락했다.     뉴욕증시 전문가들은 투자자들이 채권금리의 상승을 주시하기 시작했다고 말했다.         SPI 자산운용의 스티븐 이네스 매니징 파트너는 ""S&P500지수의 기대 이익 수익률과 10년물 국채 금리 간의 차이가 1% 근방으로 줄어들었다. 이는 2002년 기술 버블이 터진 이후 본 적이 없는 수준이다""라고 말했다.    그는 ""높은 밸류에이션만으로는 문제가 야기되지는 않겠지만, 현재의 수익률 환경은 (증시) 상황이 다소 비싸다는 점을 보여준다""라고 말했다.     이익 수익률은 주당 순이익을 주가로 나눈 것으로 10년 만기 국채금리와의 차이를 통해 주식 투자가 채권보다 얼마나 유리한지를 가늠할 때 사용한다. 이 차이가 작아졌다는 것은 그만큼 주식 위험 프리미엄이 낮아져 주식 투자 매력이 떨어졌다는 의미다.    이네스 파트너는 ""투자자들은 CPI 수치가 예상치를 크게 웃돌 경우 채권금리가 오르고, 이는 글로벌 증시에 타격을 줄 수 있어 미국 국채금리를 주시할 것""이라고 말했다.     유럽증시는 혼조세를 보였다.    독일 DAX지수는 0.08% 하락 중이며, 영국 FTSE지수는 0.21% 떨어지고 있다. 프랑스 CAC 지수는 0.01% 오르고 있고, 범유럽지수인 STOXX600 지수는 0.03% 하락하고 있다.    국제유가는 하락 중이다.     9월물 서부텍사스산원유(WTI) 가격은 전장보다 1.42% 하락한 배럴당 81.64달러에, 10월물 브렌트유 가격은 전장보다 1.30% 밀린 배럴당 85.12달러를 기록했다.    ysyoon@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. BTS 슈가, 입영 연기 취소…진·제이홉 이어 세 번째 입대 남미 안데스산맥 한겨울 기온이 37도…""여름 되면 악화할수도"" ""살인범에게 촬영 선택권을?""…최원종 머그샷 거부에 비판 여론 ""층간·벽간 소음으로 스트레스""…동거 여성 살해한 20대 송치 불안에 잠식된 일상…'살인예고 지도' 서비스 등장",https://finance.naver.com/news/news_read.naver?article_id=0014117692&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=403&date=20230807&page=1
"
석유 감산에도…사우디 아람코, 순익 40% 급감
",한국경제TV,2023-08-07 23:36,"세계 최대 석유수출 기업인 사우디 국영 석유회사 아람코가 2분기 순이익이 전년 같은기간보다 40% 하락한 307억 7천만 달러(약 40조 2,300억원)를 기록했다고 현지시간 7일 밝혔다.석유수출국기구를 포함한 산유국 모임인 OPEC+를 통한 감산 조치에도 지난 분기 국제유가가 배럴당 70달러선에 머물면서 작년 순익 484억 달러(약 63조원)를 크게 밑돌았다.아민 나세르 아람코 최고경영자는 이날 실적 발표에서 ""경제 역풍에도 항공 부문의 지속적인 회복을 보이고 있다""며 ""글로벌 석유 수요는 여전히 탄력적인 신호를 보이고 있다""고 밝혔다.아람코의 올해 2분기 실적은 작년 대비 크게 부진했으나 애널리스트들이 예상한 평균치 298억 달러를 소폭 상회했다. 아람코는 실적 발표와 함께 약 195억 달러의 배당금을 결정하고, 내년까지 성과 연계형 배당을 이어가기로 했다.나세르 최고경영자는 ""아람코 주주들을 위해 지속 가능하고 점진적인 배당금을 유지하려는 계획은 변함없이 유지될 것""이라고 강조했다.CNBC는 캐롤 나클 크리스톨 에너지 CEO의 발언을 인용해 ""작년에 보았던 결과만큼 놀라운 것은 아니지만, (아람코가) 여전히 견고한 재무상태를 유지하고 있다""고 전했다.지난해 2분기 국제유가는 러시아의 우크라이나 전쟁으로 브렌트유 기준 배럴당 112달러를 넘어서는 등 가파른 가격 상승을 보인 바 있다. 국제유가는 최근 감산 조치 등으로 배럴당 80달러선을 회복했다.그러나 지난 분기까지 이어진 유가 하락은 글로벌 석유 대기업의 실적 둔화로 나타나고 있다.앞서 영국 석유 대기업 BP는 지난주 2분기 수익이 전년 동기 대비 70% 가까이 감소했다고 발표했으며, 미국의 최대 석유기업인 엑손모빌 역시 2분기 전년 대비 56% 급감한 78억 8천만 달러의 순이익을 기록했다. 쉘, 프랑스 석유 메이저 토탈에너지도 유가 약세로 인해 수익이 급격히 감소했다고 발표했다.한편 사우디는 지난 6월 하루 100만 배럴 감산을 발표했으며, 현지 언론은 감산은 9월 이후에도 연장될 가능성 될 수 있다고 전하고 있다. 이에 대해 나클 CEO는 ""감산은 OPEC+가 추진해 온 시장 안정이라는 목표를 달성하는 데 도움이 되고 있다""며 배럴당 80달러는 사우디에 매우 바람직한 가격 하한선이 될 것이라고 전망했다.석유 가격과 관련해 골드만삭스는 브렌트유 가격이 12월에는 배럴당 86달러, 내년에는 배럴당 93달러를 돌파할 것으로 예상했다.한국경제TV 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.몰라서 못 받는 정착금…""500만원 받아가세요""""도핑 양성"" 고백한 소트니코바...IOC ""음성이었다""초등생까지 ';학교 칼부림'; 예고...아버지가 신고남매간 성관계 강요…19년간 일가족 학대한 무속인 부부한여름 콜록콜록…파라인플루엔자 주의보",https://finance.naver.com/news/news_read.naver?article_id=0001118040&office_id=215&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=403&date=20230807&page=1
"
웰스파고, 드래프트킹스 '비중확대'로 상향…목표가 37달러
",한국경제TV,2023-08-07 22:58,"웰스파고는 드래프트킹스에 대해 조정된 EBITDA 10억 달러를 향해 가면서 2023년 블록버스터 실적에 추가할 수 있을 것이라고 말했다.회사는 예상치를 뛰어넘는 2분기 실적을 발표했다.드르프트킹스는 점유율을 확보하고 개선된 제품을 활용하고 운영 비용 증가를 제한하고 있다.웰스파고는 드래프트킹스의 투자의견을 비중확대로 상향했다.목표가는 28달러에서 37달러에서 높였다.한국경제TV 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.몰라서 못 받는 정착금…""500만원 받아가세요""""도핑 양성"" 고백한 소트니코바...IOC ""음성이었다""초등생까지 ';학교 칼부림'; 예고...아버지가 신고남매간 성관계 강요…19년간 일가족 학대한 무속인 부부한여름 콜록콜록…파라인플루엔자 주의보",https://finance.naver.com/news/news_read.naver?article_id=0001118038&office_id=215&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=403&date=20230807&page=1
"
사우디 아람코, 분기 순익 39조원…38%↓
",한국경제TV,2023-08-07 22:39,"사우디아라비아 국영 석유사 아람코는 7일 올해 2분기 이익이 300억 달러(39조원)로 전년동기 대비해 37.8% 감소했다고 말했다.7일(현지시간) 로이터에 따르면 아람코는 아람코는 사우디 증권거래소(타다울)에 제출한 보고서에서 원유가격하락과 정제 및 화학 마진 감소로 이 같은 실적을 기록했다고 밝혔다.그럼에도 이는 분석가들 예상치인 298억달러를 조금 넘은 수치다.총 판매고는 1060억 달러(138조원)로 전년 동기의 1500억 달러에서 많이 줄었다.그러나 아람코는 투자자 배당금을 지난해 동기의 188억 달러보다 많은 293억 달러로 올렸다.한국경제TV 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.몰라서 못 받는 정착금…""500만원 받아가세요""""도핑 양성"" 고백한 소트니코바...IOC ""음성이었다""초등생까지 ';학교 칼부림'; 예고...아버지가 신고남매간 성관계 강요…19년간 일가족 학대한 무속인 부부한여름 콜록콜록…파라인플루엔자 주의보",https://finance.naver.com/news/news_read.naver?article_id=0001118037&office_id=215&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=403&date=20230807&page=1
"
美 FTC, ICE의 117억 달러 블랙나이트 거래에 대한 소송 기각 동의
",한국경제TV,2023-08-07 22:26,"미국 연방거래위원회(FTC)가 인터콘티넨탈 익스체인지(ICE)가 제안한 117억달러 규모의 블랙나이트 인수에 대한 연방법원 소송을 기각하기로 합의해 기업들이 거래를 종료할 수 있는 규제 경로를 완화했다.뉴욕증권 거래소 소유주인 ICE와 모기지 데이터 공급업체 블랙 나이트는 공동 합의를 통해 FTC와 최종합의를 위해 계속 노력할 수 있을 것이라고 말했다.이번 합의 로 규제 당국의 승인을 얻기 위해 고군분투하던 ICE와 블랙나이트의 주요 규제 장애물이 해소되었다.지난 3월 일부 미국 의원들이 주택담보대출 데이터 시장에서 ICE가 얻을 가격 결정력이 소비자들의 비용 상승으로 이어질 수 있다고 경고하자 공정위는 거래소 주인의 블랙나이트 거래에 대해 조치를 취하겠다고 공언했다.ICE는 핵심 거래소 사업을 넘어 확장을 모색하면서 최근 몇 년간 여러 거래를 성사시켰다.2020년에는 모기지 기술 플랫폼 엘리 메이를 110억 달러에 인수했다.그보다 1년 전에는 심플리파일을 3억 3500만 달러에 인수하기도 했다.한국경제TV 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.몰라서 못 받는 정착금…""500만원 받아가세요""""도핑 양성"" 고백한 소트니코바...IOC ""음성이었다""초등생까지 ';학교 칼부림'; 예고...아버지가 신고남매간 성관계 강요…19년간 일가족 학대한 무속인 부부한여름 콜록콜록…파라인플루엔자 주의보",https://finance.naver.com/news/news_read.naver?article_id=0001118035&office_id=215&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=403&date=20230807&page=1
"
UBS, 다비타 '매수'로 상향…목표가 142달러
",한국경제TV,2023-08-07 22:02,"UBS는 신장투석 서비스 회사 다비타에 대해 곧 치료 성장의 전환점을 볼 수 있을 것이라고 분석했다.7일(현지시간) CNBC에 따르면 앤드류 목 애널리스트는 다비타의 투자의견을 중립에서 매수로 상향했다.목표가는 주당 142달러로 높였다.앤드류 목은 ""포스트 코로나 회복 이후 지난 3분기 동안 투석 환자 증가가 개선됐다""며 ""4분기와 2024년에는 성장이 의미 있게 가속화될 것으로 기대한다""고 말했다.이어 ""더 낮은 고정 비용 구조를 고려할 때 성장 가속화는 긍정적인 운영 레버리지와 지속 가능한 16%+ 미국 투석 EBIT 마진에 유리한 배경을 제공한다""고 덧붙였다.한국경제TV 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.몰라서 못 받는 정착금…""500만원 받아가세요""""도핑 양성"" 고백한 소트니코바...IOC ""음성이었다""초등생까지 ';학교 칼부림'; 예고...아버지가 신고남매간 성관계 강요…19년간 일가족 학대한 무속인 부부한여름 콜록콜록…파라인플루엔자 주의보",https://finance.naver.com/news/news_read.naver?article_id=0001118032&office_id=215&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=403&date=20230807&page=1
"
""北, 동맹국 러 방산업체까지 해킹""<로이터>
",서울경제,2023-08-07 21:21,"[서울경제] 북한 해커집단이 러시아 주요 미사일 개발업체의 방화벽을 비밀리에 뚫는 데 성공한 것으로 뒤늦게 확인됐다고 로이터가 7일(현지 시간) 보도했다. 세르게이 쇼이구 러시아 국방부장관이 최근 이례적으로 북한 전승절 70주년 행사에 참석해 북한과 러시아가 ‘밀월’ 관계를 과시했다는 평가가 나오는 가운데, 북한은 동맹국인 러시아까지 해킹을 하고 나선 셈이다. 로이터는 “보안 전문가들과 함께 기술적 증거를 분석한 결과 스카크러프트와 라자루스로 불리는 북한 정부 연계 사이버 첩보팀이 러시아 방산업체 NPO 마쉬노스트로예니야의 시스템에 침입할 수 있는 백도어를 비밀리에 설치한 사실을 알아냈다”고 전했다. 세부적으로 NPO 마쉬노스트로예니야 산하 로켓 설계 부서가 공격당한 것으로 전해졌다. 1944년 설립된 NPO 마쉬노스트로예니야는 탄도 미사일과 순항 미사일, 대륙간탄도미사일(ICBM), 우주 발사체 개발 등에 관여했으며, 현재도 극초음속 미사일과 위성 기술, 차세대 탄도탄 개발에 주도적 역할을 하고 있다. 로이터가 입수한 이 회사 내부 자료에 따르면 북한 해커들은 2021년 말 이 회사 시스템에 침입하는 데 성공했고 이런 사실은 이듬해 5월이 돼서야 발각됐다. 로이터는 북한 해커들이 실제로 자료를 빼낼 수 있었는지, 어떤 자료를 볼 수 있었는지는 알 수 없지만 ""침입 이후 수개월 동안 북한 정권은 금지된 탄도미사일 프로그램과 관련해 여러 건의 진전을 발표했다""고 짚었다. 로이터는 ""고립된 국가(북한)가 중요한 기술을 얻기 위해 러시아와 같은 동맹도 표적으로 삼았다""고 평가했다. 서울경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.리모컨 갖고 놀다 중환자실 실려간 4살···식도에서 나온 '이것' 깜짝""엉덩이로 원을 그리다 보여""···'노팬티'로 무대 올라 탐폰 노출한 美유명 래퍼 논란공포영화 '링' 귀신처럼 쑥 들어왔다···CCTV에 딱 걸린 절도범 '섬뜩'尹 ""서울·평창 등 협조해 잼버리에 관광프로그램 추가""""배달 온 돈가스 고기가 생고기에요"" 문의하자···""네 탓"" 황당 답변에 '공분'",https://finance.naver.com/news/news_read.naver?article_id=0004223637&office_id=011&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=403&date=20230807&page=1
"
'훈센 장남' 훈 마넷, 총리로 공식 지명
",서울경제,2023-08-07 20:56,"[서울경제] 캄보디아 국왕이 훈센 총리의 장남인 훈 마넷을 차기 총리로 공식 지명했다.7일 AFP통신 등 외신에 따르면 노로돔 시하모니 캄보디아 국왕은 훈센 총리의 요청에 따라 이날 훈 마넷을 차기 총리로 지명했다. 캄보디아 총리는 국왕이 국회 제1당의 추천을 받아 지명한다. 훈센 총리가 이끄는 캄보디아인민당(CPP)은 지난달 23일 총선에서 전체 의석 125개 중 120개를 차지하는 압승을 거둔 바 있다. 이어 훈센 총리는 지난달 26일 총리직에서 물러나고 훈 마넷이 새 정부를 이끌 것이라고 밝혔다. 훈 마넷은 오는 22일로 예정된 국회 신임투표를 거쳐 총리로 취임하게 된다.캄보디아군 부사령관이자 육군 대장인 훈 마넷은 올해 45살로 CPP 중앙위원회 상임위원을 맡고 있다. 이번 총선에서 프놈펜 선거구에 출마해 당선됐다. 그는 1999년 미 육군사관학교 웨스트포인트를 졸업하고 뉴욕대와 영국 브리스톨 대학에서 각각 경제학 석·박사 학위를 취득했다. 훈센은 32살이었던 1985년 총리에 취임한 뒤 38년간 캄보디아를 이끌어왔다.서울경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.리모컨 갖고 놀다 중환자실 실려간 4살···식도에서 나온 '이것' 깜짝""엉덩이로 원을 그리다 보여""···'노팬티'로 무대 올라 탐폰 노출한 美유명 래퍼 논란공포영화 '링' 귀신처럼 쑥 들어왔다···CCTV에 딱 걸린 절도범 '섬뜩'尹 ""서울·평창 등 협조해 잼버리에 관광프로그램 추가""""배달 온 돈가스 고기가 생고기에요"" 문의하자···""네 탓"" 황당 답변에 '공분'",https://finance.naver.com/news/news_read.naver?article_id=0004223634&office_id=011&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=403&date=20230807&page=1
"
미국 무한 신뢰?…신용등급 강등되자 국채 폭풍 매수[서학픽]
",머니투데이,2023-08-07 20:05,"[편집자주] 서학개미들이 많이 투자하는 해외 주식의 최근 주가 흐름과 월가 전문가들의 평가를 분석해 소개합니다.서학개미들이 2주일째 미국 증시에서 순매수를 이어갔다. 미국 국채수익률이 급등하면서 장기 국채 펀드에 대한 투자가 늘어난 가운데 일부 빅테크주에 대한 순매수 기조도 지속됐다.반도체주 레버리지 펀드는 1억달러 이상의 매도 우위를 나타냈다. 서학개미들은 최근 반도체주가 떨어지면 3배 레버리지 펀드를 사고 반도체주가 올라가면 재빨리 3배 인버스 펀드로 갈아타며 단기 차익을 추구하는 모습이다.한국예탁결제원에 따르면 지난 7월26일부터 8월1일까지 서학개미들은 미국 증시에서 6401만달러를 순매수했다.(결제일 기준 7월31일~8월4일)2주 연속 순매수이지만 순매수 규모는 직전주 1억7988만달러에 비해 거의 3분의 1 수준으로 줄었다.서학개미들이 이 기간 동안 가장 많이 순매수한 종목은 디렉시온 데일리 만기 20년 이상 미국 국채 불 3배 ETF(TMF)였다. 서학개미들은 이 기간 동안 TMF를 9431만달러 순매수했다. TMF는 만기 20년 이상 미국 장기 국채들로 구성된 벤치마크의 하루 수익률을  3배 추종한다.지난 7월26일~8월1일까지 TMF 순매수가 급증한 이유는 지난 7월27일(미국 동부시간) 일본은행(BOJ)이 다소 긴축적인 정책으로 선회할 것이란 보도와 8월1일 신용평가사 피치의 미국 신용등급 강등으로 미국 국채수익률이 급등했기 때문이다.(국채수익률은 국채 가격과 반대로 움직인다.)국채 가격이 하락하자 가격 반등시 큰 차익을 누릴 수 있을 것으로 기대하고 TMF 매수가 급격히 늘어난 것이다.  실제로 서학개미들은 지난 7월28일과 8월1일에만 TMF를 각각 3700만달러 남짓씩 순매수했다. 미국의 장기 국채수익률이 상승세를 멈추고 하락한다면 이 기간 동안 TMF를 매수한 서학개미들은 상당한 수익을 기대할 수 있다. 하지만 현재로선 미국 국채 공급이 늘어나고 있는 가운데 국채수익률은 고공행진을 계속하고 있다.서학개미들은 이 기간 동안 아이셰어즈 만기 20년 이상 미국 국채 바이라이트 전략 ETF(TLTW)도 8305만달러 순매수했다. 특이한 점은  아이셰어즈 만기 20년 이상 미국 국채 ETF(TLT)는 1315만달러 순매도했다는 점이다. TMF나 TLTW, TLT 모두 만기 20년 이상 미국 장기 국채에 투자한다는 점은 같다. 하지만 TMF는 장기 국채의 하루 가격 움직임을 3배로 따르고 TLTW는 장기 국채에 투자하면서 콜옵션을 매도해 프리미엄을 받아 배당수익률을 높였다는 점이 다르다. TLT는 순수하게 만기 20년 이상 국채에 투자하는 펀드다.서학개미들은 TLTW도 국채수익률 상승으로 가격이 떨어지자 저가 매수한 것으로 보인다. 반면 TLT를 소폭 순매도한 것은 국채수익률이 급등하자 두려움에 휩싸인 손절매 물량이 늘었기 때문으로 추정된다. TLT처럼 가장 일반적인 형태의 ETF는 통상 보수적이거나 투자 경험이 많지 않은 투자자들이 주로 투자한다.서학개미들은 빅테크주도 2주째 순매수를 이어갔다. 엔비디아와 애플, 마이크로소프트는 2주 연속 순매수 상위 10위 안에 들었고 아마존은 새로 진입했다. 서학개미들은 지난 3일 실적 발표를 앞둔 애플과 아마존을 모두 순매수했으나 결과는 엇갈렸다. 실적 발표 후 애플은 실망감에 4.8% 급락한 반면 아마존은 '어닝 서프라이즈'에 8.3% 급등했다.테슬라도 2주 연속 순매수를 이어갔으나 순매수 규모는 842만달러에 그쳤다. 주가 조정이 계속되고 있으나 저가 매수세는 크게 늘지 않고 있고 주가가 더 떨어지기 전에 처분하자는 심리가 강한 것으로 보인다.서학개미들이 지난 7월26일~8월1일 사이에 가장 많이 순매도한 종목은 반도체주 상승시 3배 수익을 얻는 디렉시온 데일리 세미컨덕터 불 3배 ETF(SOXL)였다. 서학개미들은 직전주에 SOXL을 6906만달러 순매수했으나 한 주 만에 1억1767만달러를 순매도했다. 반도체주가 상승하자 더 욕심 내지 않고 서둘러 처분한 것으로 보인다.이 같은 판단은 적중해 SOXL은 지난 1일까지 4거래일 연속 올랐다가 2일 11.4% 폭락했다. 서학개미들은 같은 기간에 반도체주 3배 인버스 펀드인 디렉시온 데일리 세미컨덕터 베어 3배 ETF(SOXS)는 3000만달러 순매수했다. 반도체주가 올랐으니 단기 조정을 받을 것으로 예상하고 매수에 들어간 것으로 보인다. SOXS는 지난 2일부터 3일간 13.4% 뛰어올랐다.실적 호조로 주가가 급등한 알파벳과 메타 플랫폼은 차익 매물이 나오며 각각 5207만달러와 2048만달러 순매도됐다. 보잉과 소파이 테크놀로지스도 실적 개선으로 주가가 급등하자 매물이 쏟아지며 매도 우위를 보였다. 중국 증시에 대해선 투자 심리가 악화하며 중국 증시 하락시 3배 수익을 얻는 디렉시온 데일리 FTSE 차이나 베어 3배 ETF(YANG)가 927만달러 매수 우위를 보였다.반면 중국 인터넷주 상승시 2배 수익을 얻는 디렉시온 데일리 CSI 차이나 인터넷 불 2배 ETF(CWEB)는 629만달러 매도 우위를 나타냈다. 머니투데이 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.박서준, 무대인사 봉변→팬서비스 거부?…""오해 있었다""정형돈, 박명수에 ""무도 4년간 왜 그랬냐"" 원망조영남 ""송창식 얼굴에 주먹질"" 과거 유혈사태 전말강주은 ""♥최민수, 홈쇼핑 생방송 난입…소름 쫙""원나잇 집착하는 아내, 男 5명과 외도…",https://finance.naver.com/news/news_read.naver?article_id=0004922280&office_id=008&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=403&date=20230807&page=1
"
도시바 8일부터 공개매수…연내 상장폐지
",이데일리,2023-08-07 18:13,"[이데일리 김겨레 기자] 도시바가 8일부터 일본 대기업 연합 사모펀드 일본산업파트너즈(JIP)에 주식을 매각한다고 밝혔다. JIP는 오는 9월까지 공개매수를 마치고 올해 안에 도시바를 상장 폐지할 계획이다. (사진=AFP)7일 니혼게이자이신문(닛케이)에 따르면 도시바는 8일부터 JIP 컨소시엄이 1주당 4620엔(약 4만2000원)에 주식 전량 취득을 목표로 공개매수를 실시한다고 밝혔다. 전체 인수 규모는 총 2조엔(약 18조3400억원)이며, 공개 매수 기간은 오는 9월20일까지다. JIP가 발행 주식의 3분의 2 이상을 취득할 시 나머지 주식은 주주 총회에서 강제 매입이 가능하다. 도시바는 11월 하순에 임시 주주 총회를 개최해 TOB 관련 안건을 투표에 부칠 예정이며, 통과 시 연내 상장 폐지가 유력하다. 1949년 도시바가 도쿄증권거래소에 상장한 지 74년 만이다. JIP는 약 20개의 일본 기업이 출자한 기업연합이다. JIP는 도시바를 상장 폐지한 뒤 주주 구성을 정리하고 기업 가치를 올려 재상장한다는 구상이다. 도시바 공개매수를 위해 로옴이 3000억엔(약 2조7500억원), 오릭스가 2000억엔(1조8300억엔), 일본특수도업이 500억엔(약 4600억원) 등을 출자하기로 했다. 나머지는 미쓰이스미토모은행 등 은행단으로부터 빌린 1조2000억엔(약 11조원)으로 충당한다. 2015년 회계부정과 2016년 원자력발전사 자회사 웨스팅하우스의 파산 등으로 휘청이던 도시바는 2017년 해외 펀드들로부터 6000억원 규모의 증자를 받았다. 이후 증자를 주도한 행동주의 펀드와 도시바 측이 경영 문제로 대립하는 일이 반복되자 2021년 매각 논의가 시작됐다. 영국계 사모펀드인 CVC캐피털파트너스가 2조 3000억엔(약 22조 5200억원)에 도시바를 인수하겠다고 나섰지만 일본의 핵심 인프라 기업인 도시바를 외국에 넘길 수 없다는 반대 여론이 확산하면서 도시바 이사회는 지난 3월 JIP가 2조엔에 인수하겠다는 제안을 수용했다.이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""일급 12~18만원"" 잼버리 화장실 청소 알바 '당근마켓'에 떴다""주호민 측 변호사 이틀 만에 전원 사임""BTS 슈가 영상서 시작됐다?…9호선 대피소동 전말 보니'초전도체'에 관심 빼앗긴 2차전지…증권가 팔아라 이유는'카눈', 한반도 관통한다…9~10일 태풍특보 발령",https://finance.naver.com/news/news_read.naver?article_id=0005546388&office_id=018&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=403&date=20230807&page=1
